error_type,wos_id,wos_year,wos_title,wos_abstract,wos_last_names,ds_id,ds_year,ds_title,ds_abstract,ds_last_names
miss,WOS:000449533200002,2018,study of the composition of heavy oil during the simulation of oil displacement in porous media,the effect of enhanced oil recovery eor system during the simulation of oil displacement in porous media in the laboratory on the composition of heavy oil from the usinskoye oil field of russia was investigated it is shown that in the course of its displacement by water and surfactant composition from the model of reservoir of different permeability rel of the residual oil remains on the core material using the methods of chromatography on silica gel in a soxhlet apparatus and chromato mass spectrometry gc ms the changes of the component composition of oil passed through the pore space of rock sample dos and those of non recovered residual oil ros were determined it was found that the composition of the combined oil sample dos after displacement by water as well as with the use of compositions is characterized by a slight increase in the alkane content from to rel the proportion of aromatic and naphthenic hydrocarbons in the sample of dos in comparison with the original sample mos decreased by an average of times in the residual oil ros there is an increased content of resins and asphaltenes the content of alkanes in the residual oil decreased by times while the total content of saturated cyclic hydrocarbons increased by fold aromatic compounds times,"['stakhina', 'savinykh', 'kozlov', 'chuikina']",pub.1110235627,2018,study of the composition of heavy oil during the simulation of oil displacement in porous media,сибирскии федеральныи университет сфу входит в топ вузов россии ведущие научные школы красноярска лучшии в россии кампус мировые индустриальные партнеры,"['chemistry', 'darya', 'vladimir', 'university', 'd', 'yuriy']"
miss,WOS:000229364200004,2005,verbal working memory load affects prefrontal cortices activation evidence from a functional nirs study in humans,working memory wm refers to the temporary maintenance of information that is no longer accessible in the environment and the manipulation of this information for subsequent use pet and functional mri studies suggest that prefrontal cortex pfc is involved in wm here we report a functional near infrared spectroscopy nirs study on the pfc activation caused by a wm task a verbal n back task during performance of the task concentration changes of oxy hb hbo deoxy hb hb and total hb hbt in subjects prefrontal cortex were monitored by a channel functional nirs imager the behavioral performances accuracy and response time were recorded simultaneously results revealed that as memory load increased subjects showed poorer behavioral performance as well as monotonously increasing magnitudes of the activations in the left ventrolateral pfc vlpfc and bilateral dorsolateral pfc dlpfc in addition the analysis of comparison between subjects showed that certain relations likely exist between the cerebral activation and the performance parameters for an individual subject lower accuracy is accompanied by longer response time and further activation such means that the subject with difficulty in solving a problem will demonstrate more significant hemodynamic changes compared with the subject without difficulty in solving the same problem,"['zeng', 'luo', 'gong', 'li']",pub.1008551607,2005,verbal working memory load affects prefrontal cortices activation evidence from a functional nirs study in humans,,"['li', 'gong', 'zeng', 'luo']"
miss,WOS:000173705800007,2001,a novel interleukin il antagonist that blocks the biological activity of human il in immune and nonimmune cells,the pleiotropic cytokine interleukin il plays a major role in the pathogenesis of inflammatory diseases including allergic rhinitis atopic dermatitis allergic asthma and malignancies therefore specific inhibitors of il may have important clinical applications we have previously produced a super agonist of il termed il rd by single amino acid substitution changing arg to asp at position in an effort to create a cell selective il agonist we performed a second mutation in the il rd molecule substituting lys for glu at position unexpectedly rather than an agonist this novel double mutein il dm termed il ekrd turned out to be an il antagonist it competes for i il binding sites as effectively as wtil designation of il ekrd as an il antagonist is supported further by a second assay involving a fusion protein consisting of the bacterial cytotoxic molecule peqqr as well as wtil il peqqr or il cytotoxin il ekrd neutralizes the cytotoxic activity of il cytotoxin exhibited in u and pm rcc cancer cell lines in addition il ekrd inhibits the proliferative activity of wtil in tf and l hematopoietic cell lines neutralizes wtil induced inhibition of cd expression on primary monocytes and prevents wtil induced activation of signal transducer and activator of transcription stat protein in ksy and thp cell lines thus il ekrd may be a useful agent for the study of interaction between il and its cognate receptors and may contribute to the development of new treatments for inflammatory diseases even malignancies in which il plays a central role,"['oshima', 'puri']",pub.1032955072,2001,a novel interleukin il antagonist that blocks the biological activity of human il in immune and nonimmune cells,the aim of this study was to develop novel agonists or antagonists of human interleukin il based on the homology of il between species and the homology between the il family of lymphokines and the known dimensional structure of four helical bundle cytokines we hypothesized and tested whether arginine r at position and glutamic acid e at position of human il molecule might be hot residues with significant biological importance in the ligand receptor interaction in various cell types recombinant wild type il wtil il rd in which r at position was substituted to aspartic acid d and il dm il ekrd in which e at position was substituted to lysine k and r to d at position were expressed in escherichia coli and purified from inclusion bodies visual inspection of bands suggested purity of all proteins to be more than binding studies were performed on the pm rcc renal carcinoma cell line and u glioblastoma cell line both express the type i il receptor il r as expected wtil displaced specific binding of radiolabeled il i il in both cell lines il dm also inhibited binding of i il binding affinity of il dm was similar to wtil fig to support the findings that il dm binds to il r at physiological temperatures we tested whether il ekrd can block the cytotoxicity mediated by il peqqr since il peqqr mediates cytotoxicity through binding to il r its cytotoxicity is correlated with the receptor interaction as expected il peqqr mediated cytotoxicity in a concentration dependent manner consistent with their ability to compete for i il binding il il rd or il dm blocked this cytotoxicity in a concentration dependent manner in both cell lines studied we measured the proliferative responses of wtil il rd and il dm alone or in combination with wtil and il ekrd in a tf cell line that expresses type iii il r as expected il and il rd stimulated the growth of tf cells in a concentration dependent manner in contrast il ekrd showed no proliferative activity fig a to determine the effect of il ekrd on il induced proliferation of tf and l hematopoietic cell lines we cultured cells in the presence of il ekrd and wtil under various conditions il dm significantly blocked the mitogenic activity of wtil in a concentration dependent manner fig b c d since il has been shown to down regulate cd expression on monocytes we investigated whether il dm can nullify the down regulating activity induced by wtil wtil suppressed cd expression although modestly on monocytes and il ekrd neutralized the effect of wtil stat activation is an early cellular response induced by il and is responsible for the biological effect mediated by il we therefore tested whether il dm can generate signaling through the stat pathway tory epstein barr virus immortalized b cells and thp monocytic cells that express type ii iii il r and ksy aids associated kaposi s sarcoma cells that express type i il r were used for this purpose in all cell types tested both wtil and il rd induced stat activation in a concentration dependent manner in sharp contrast il ekrd did not stimulate stat activation even at a high concentration in addition il dm blocked wtil induced stat activation in thp and ksy cell lines in a concentration dependent manner in this report we describe the production and characterization of an antagonist of il that was produced by site directed mutagenesis of two amino acids in the predicted α helix a and d of il molecule to be an effective antagonist the agent must be able to reverse or reduce the effect of an agonist and to bind and block cell receptors that normally bind naturally occurring ligand therefore we determined whether il mutein il ekrd mediated these activities we report that il dm inhibited wtil induced proliferation of tf and l cells reversed the wtil induced down modulation of cd expression and inhibited activation of stat induced by wtil the binding activity of il dm to il r was confirmed byi il binding and neutralization of cytotoxicity mediated by il peqqr in cancer cells thus the antagonistic activities of il ekrd were evident in cells that expressed type i and type ii iii il r fig previously we had produced a mutation in il molecule by a single amino acid substitution in α helix d of il molecule il rd because the position of amino acid in il was predicted to be localized in the corresponding amino acid at position in the il molecule and the mutation in this amino acid resulted into an il antagonist il yd it was predicted that il rd would be an il antagonist however the reverse was observed il rd turned out to be a powerful il agonist with to fold improved binding affinity to il receptors we have also produced a mutation at position of il which is predicted to be located in α helix a of il molecule in this il mutein e at position was changed to k this mutant protein il ek reported a fold higher binding affinity to il receptors than wtil on u cell lines to further improve the binding affinity of il we decided to produce a il dm combining the features of two previously produced mutations it was predicted that this molecule would have a much higher binding affinity to il receptor vs wtil this molecule was expressed in e coli and homogeneously purified material was found to bind il r however we did not observe a dramatic increase in binding affinity when tested in various biological assays this il dm turned out to be an antagonist of il the mechanisms underlying the antagonistic action of il ekrd are not known it is possible that a double mutation in il molecule causes inappropriate aggregation of receptor subunits resulting in defective coupling of intracellular messenger molecules alternatively these mutations may have created a novel conformation of il that binds il r but alters conformation which is incapable with signaling these possibilities are subject of our ongoing studies since il has been shown to be involved in many inflammatory diseases including bronchial asthma allergic rhinitis and atopic dermatitis it is expected that il ekrd will be able to neutralize the effect of il eventually ameliorating the disease phenotype finally since il is an autocrine growth factor for hodgkin reed sternberg tumor cells il dm may be useful in the therapy of hodgkin s disease future studies will examine these possibilities to read the full text of this article go to http www fasebj org cgi doi fj fje to cite this article use faseb j april fj fje,"['oshima', 'puri']"
miss,WOS:000183176200014,2003,subaqueous artesian springs and associated spring pits in a himalayan pond,subaqueous bowl shaped depressions found in a himalayan pond formed in an abandoned river channel in the lingti valley spiti nw india are spring pits quirke the occurrence of the spring pits is restricted to the western end of the pond where coarse grained highly permeable alluvial fan material continues below lacustrine mud deposits the spring pits formed by active vertical discharge of ground water from an underlying artesian alluvial fan aquifer confined by the overlying fine grained lacustrine sediments the aquifer is continuously recharged by down slope ground water flow in the alluvial fan these small artesian springs are comparable with much larger artesian springs described in the literature and a similar mechanism of formation is proposed some similarities in their shapes and mechanisms of formation may indicate that spring pits represent small nearshore examples of pockmarks the differences of these features formed by persistent fluidization from short lived seismic liquefaction processes are discussed and the utility of the structures for palaeo environmental and palaeogroundwater interpretation is evaluated,"['draganits', 'janda']",pub.1058316247,2003,subaqueous artesian springs and associated spring pits in a himalayan pond,,"['draganits', 'janda']"
miss,WOS:000363046900044,2015,phototrophic culture of chlorella sp using charcoal ash as an inorganic nutrient source,although several studies have recognized the suitability of employing ashes as a component of a culture medium or fertilizer the number of these studies remains limited the use of biomass ash as a nutrient source for algal culture is an unexplored research topic that should be investigated to analyse the possibility of reducing the costs associated with commercial microalgae culture in this study biomass ash from charcoal was used as a source of nutrients for the cultivation of chlorella sp and two alternative processes for nutrient supply were studied first various culture media containing the leachate stock solution from solid ash at different concentrations were prepared second different amounts of solid ash were added directly to the culture media the results indicated that the direct use of biomass ash mixed in water enables the formation of a more suitable medium compared with guillard s f medium because it promotes faster cell growth and higher biomass productivity the higher biomass productivities were reached over the same period compared with those achieved with the culture media based on biomass ash leachates moreover the nutrients in the media containing ash leachates are sufficient to maintain cell growth rates and biomass productivities that are comparable to those achieve with guillard s f medium c elsevier b v all rights reserved,"['narvaez c', 'sandoval r', 'lopez villada', 'flores e']",pub.1030516316,2015,phototrophic culture of chlorella sp using charcoal ash as an inorganic nutrient source,,"['r', 'e', 'c', 'lopez villada']"
miss,WOS:000264774000159,2009,seedless vapor liquid solid growth of si and ge nanowires the origin of bimodal diameter distributions,we identify a previously uncharacterized vapor liquid solid growth mode that can produce small diameter epitaxial lt gt oriented si and ge nanowires nws disilane or digermane pyrolysis evolves h causing the monolayer thick au si layer between three dimensional au seeds to dewet and form small au islands under some conditions these small islands facilitate seedless growth of small diameter nws distinct from larger nws that grow from the deposited seeds leading to a bimodal diameter distribution we identify the precursor pressures and growth temperature regimes for which si and ge nw growth occurs in the absence of deposited seeds from the dewetted au si layer,"['dailey', 'drucker']",pub.1057911406,2009,seedless vapor liquid solid growth of si and ge nanowires the origin of bimodal diameter distributions,,"['dailey', 'drucker']"
miss,WOS:000424620900005,2017,on landscapes maps and upper paleolithic lifestyles in the central european corridor the images of pavlov and predmosti,in the context of recent discussions on early modern human capacities of time awareness space awareness planning and organized hunting this paper presents three complex gravettian engravings on mammoth tusks or ivory plaques from the sites of pavlov and predmosti in central europe and suggests their possible interpretations as lt lt maps gt gt and or lt lt hunting plans gt gt,['svoboda'],pub.1101453735,2017,sobre paisajes mapas y sistemas de vida del paleolitico superior en el corredor centroeuropeo las imagenes de pavlov y predmosti,en el contexto de los debates recientes sobre las capacidades humanas modernas relativos a la conciencia del tiempo y del espacio la planificacion y la caza organizada este articulo presenta tres grabados gravetienses sobre colmillos de mamut y placas de marfil de los yacimientos de pavlov y predmosti en europa central sugiriendo sus posibles interpretaciones como mapas y o planes de caza,['svoboda']
miss,WOS:000262474500006,2008,recurrence quantification analysis applied to sequential speckle images of machined surface for detection of chatter in turning,based on the discovery that cutting signals contain fractal patterns a recurrence plot based methodology called recurrence quantification analysis rqa is applied to the time series constructed using information contained in speckle images of machined surface for chatter detection in turning operation variations in the roughness of machined surface created by virtue of chatter manifests as changes in the statistical properties of speckle images of the surface when examined frame by frame along the axis of the machined part a significant parameter of such images the frame wise average intensity value is extracted separately and arranged in sequence for constructing the time series since this time series is found to be non stationary in nature and due to the fact that the turning operation is low dimensional chaotic the nonlinear time series analysis methodology of rqa is used for analyzing the time series the present study ascertains that the derived time series do have a deterministic origin and it further investigates the sensitivity of the different rqa variables to chatter cutting by analyzing this time series and demonstrates that this methodology is capable of capturing the transition from regular cutting to the chatter cutting,"['narayanan', 'elias', 'rajesh']",pub.1002389487,2008,recurrence quantification analysis applied to sequential speckle images of machined surface for detection of chatter in turning,,"['elias', 'rajesh', 'namboothiri']"
miss,WOS:000444601200013,2018,protective effect of arnebia hispidissima against carbon tetrachloride induced heart and kidney injury in rats,background and objective arnebia hispidissima f boraginaceae has been found to have cardiac and febrifuge properties it has long been used in traditional system of medicine for the treatment of heart ailments headache and fever this study aimed to investigate the protective effect of arnebia hispidissima extract ahe on carbon tetrachloride ccl induced cardiotoxicity and nephrotoxicity materials and methods adult rats were divided into five groups and medicated as follows the control group received the vehicles olive oil ml kg i p tween ml kg p o ccl group of animals was administered with ccl in olive oil ml kg p o silymarin group was co administered with ccl plus silymarin mg kg p o ccl plus ahe mg kg p o ccl plus ahe mg kg p o rats received vehicle ccl silymarin or ahe twice a week for weeks serum ast aspartate transaminase ldh lactate dehydrogenase ck creatine kinase ck mb creatine kinase mb isoenzyme and ctnl cardiac troponin were measured to assess the heart damage markers serum levels of creatinine urea uric acid and bun blood urea nitrogen were measured as markers of the renal function markers of oxidative stress in the cardiac and renal tissues were estimated by determining the levels of sod superoxide dismutase gpx glutathione peroxidase cat catalase gsh reduced g lutathione and mda malondialdehyde heart and kidney tissues were investigated for histopathological changes results administration of ccl significantly increased the levels of cardiac and renal damage markers co administration of ccl plus ahe significantly relieved the adverse effect of ccl in rat and reduced the increased serum levels of cardiac and renal damage markers ahe compensated the deficits in the antioxidant defense mechanisms sod gpx and cat and suppressed lpo lipid peroxidation in rat heart and kidney resulting from ccl administration moreover histopathological changes induced with ccl in heart and kidney tissues of rat were also reduced with the co administration of ahe conclusion in this study we have found that oral administration of ahe prevented ccl induced cardio and nephrotoxicity by accelerating heart and kidney antioxidant defense mechanisms and down regulating the lpo near to the normal levels,"['abdulkader', 'alam', 'foudah', 'el banna', 'yusufoglu', 'salkini', 'soliman']",pub.1107101759,2018,protective effect of arnebia hispidissima against carbon tetrachloride induced heart and kidney injury in rats,,"['yusufoglu', 'soliman', 'foudah', 'abdulkader', 'a el bann', 'alam', 'ayman salk']"
miss,WOS:000373920800008,2016,feed or fight testing the impact of food availability and intraspecific aggression on the functional ecology of an island lizard,body size often varies among insular populations relative to continental conspecifics the island rule and functional context dependent morphological differences tend to track this body size variation on islands two hypotheses are often proposed as potential drivers of insular population differences in morphology one relating to diet and the other involving intraspecific competition and aggression we directly tested whether differences in morphology and maximum bite capacity were explained by interisland changes in hardness of both available and consumed prey and levels of lizard to lizard aggression among small island populations our study included islands in the greek cyclades and made use of a gradient in islandarea spanning five orders of magnitude we focused on the widespread lizard podarcis erhardii we found that on smaller islands p erhardii body size was larger head height was larger relative to body size and maximum bite capacity became proportionally stronger this pattern in morphology and performance was not related to differences in diet but was highly correlated with proxies of intraspecific aggression bite scars and missing toes our findings suggest that critical functional traits such as body size and bite force in p erhardii follow the predictions of the island rule and are changing in response to changes in the competitive landscape across islands of different sizes,"['foufopoulos', 'brock', 'donihue', 'herrel']",pub.1052251024,2016,feed or fight testing the impact of food availability and intraspecific aggression on the functional ecology of an island lizard,,"['donihue', 'brock', 'foufopoulos', 'herrel']"
