error_type,wos_id,wos_year,wos_title,wos_abstract,wos_last_names,ds_id,ds_year,ds_title,ds_abstract,ds_last_names
false_alarm,WOS:000236430400003,2006,paternal den attendance is the best predictor of offspring survival in the socially monogamous bat eared fox,although considerable data are available on the subject for birds almost nothing is known about the adaptive nature of paternal care in mammals i studied the adaptive significance of paternal care in a socially monogamous population of bat eared foxes otocyon megalotis between the birth and weaning of cubs males spent significantly more time in the den vicinity than females and with the exception of lactation were involved in all aspects of tub care multivariate analyses revealed that compared to parental size and age territory quality and maternal den attendance paternal den attendance was the best predictor of both the number and proportion of cubs surviving to weaning age i suggest that the parental roles of bat eared foxes are related to the species diet and propose that the beneficial nature of male care may be sufficient to make social monogamy the optimal mating strategy for males as well as females c the association for the study of animal behaviour published by elsevier ltd all rights reserved,['wright'],pub.1057715586,2002,role of carbon in gan,,"['seager', 'wright', 'yu', 'gotz']"
false_alarm,WOS:000407666500017,2017,report of the ashp treasurer,ashp continues to be a strong and vibrant organization from both a membership and financial viewpoint,['johnson'],pub.1056288115,2012,multikilogram scale synthesis of a chiral cyclopropanol and an investigation of the safe use of lithium acetylide ethylene diamine complex,,"['bassan', 'baxter', 'beutner', 'emerson', 'fleitz', 'johnson', 'keen', 'kim', 'kuethe', 'leonard', 'mullens', 'muzzio', 'roberge', 'yasuda']"
false_alarm,WOS:000323893500002,2013,lofar the low frequency array,lofar the low frequency array is a new generation radio interferometer constructed in the north of the netherlands and across europe utilizing a novel phased array design lofar covers the largely unexplored low frequency range from mhz and provides a number of unique observing capabilities spreading out from a core located near the village of exloo in the northeast of the netherlands a total of lofar stations are nearing completion a further five stations have been deployed throughout germany and one station has been built in each of france sweden and the uk digital beam forming techniques make the lofar system agile and allow for rapid repointing of the telescope as well as the potential for multiple simultaneous observations with its dense core array and long interferometric baselines lofar achieves unparalleled sensitivity and angular resolution in the low frequency radio regime the lofar facilities are jointly operated by the international lofar telescope ilt foundation as an observatory open to the global astronomical community lofar is one of the first radio observatories to feature automated processing pipelines to deliver fully calibrated science products to its user community lofar s new capabilities techniques and modus operandi make it an important pathfinder for the square kilometre array ska we give an overview of the lofar instrument its major hardware and software components and the core science objectives that have driven its design in addition we present a selection of new results from the commissioning phase of this new radio observatory,"['wise', 'wilhelmsson', 'van der tol', 'markoff', 'gruppen', 'gankema', 'riemers', 'best', 'arts', 'scaife', 'morganti', 'morawietz', 'noutsos', 'romein', 'griessmeier', 'de geus', 'horneffer', 'van weeren', 'mann', 'van der horst', 'iacobelli', 'tang', 'mol', 'weggemans', 'masters', 'dettmar', 'de bruyn', 'fender', 'renting', 'van veelen', 'van zwieten', 'davies', 'overeem', 'heald', 'reich', 'scheers', 'schoonderbeek', 'alexov', 'bonafede', 'corstanje', 'bentum', 'lemaitre', 'vocks', 'miller jones', 'coolen', 'olofsson', 'ruiter', 'damstra', 'van der wal', 'conway', 'van de brink', 'gerbers', 'drost', 'usov', 'avruch', 'van enst', 'steinmetz', 'wijnholds', 'stiepel', 'tasse', 'van leeuwen', 'omar', 'gunst', 'broekema', 'stappers', 'jackson', 'kuniyoshi', 'rol', 'van den akker', 'pandey pommier', 'wucknitz', 'huijgen', 'tagger', 'sluman', 'van bemmel', 'eisloeffel', 'van cappellen', 'mcfadden', 'asgekar', 'miley', 'kondratiev', 'norden', 'paas', 'kollen', 'mckay bukowski', 'stuurwold', 'rottgering', 'vogt', 'law', 'van der schaaf', 'wijers', 'de gasparin', 'jelic', 'smirnov', 'bahren', 'de reijer', 'koster', 'mckean', 'pandey', 'bennema', 'reitsma', 'anderson', 'kooistra', 'van duin', 'grit', 'nijboer', 'yatawatta', 'millenaar', 'mohan', 'anderson', 'bregman', 'deller', 'meijering', 'van houwelingen', 'munk', 'van ardenne', 'zensus', 'zarka', 'lambropoulos', 'dijkstra', 'braun', 'orru', 'white', 'mulder', 'donker', 'verbiest', 'kuper', 'schoenmakers', 'broderick', 'spreeuw', 'bernardi', 'garrett', 'maat', 'macario', 'kant', 'sobey', 'schellart', 'thoudam', 'falcke', 'kramer', 'thomas', 'toribio', 'frieswijk', 'hessels', 'brentjens', 'rawlings', 'weltevrede', 'noordam', 'de jong', 'ciardi', 'de vos', 'zaroubi', 'horandel', 'vermaas', 'meulman', 'dromer', 'intema', 'fallows', 'offringa', 'bell', 'brueggen', 'boonstra', 'pizzo', 'loose', 'roosjen', 'vermeulen', 'shulevski', 'coenen', 'van nieuwpoort', 'koopmans', 'brouw', 'mevius', 'ferrari', 'van diepen', 'holties', 'karastergiou', 'polatidis', 'koopman', 'swinbank', 'van haarlem', 'ter veen', 'bell', 'birzan', 'van der veen', 'hoeft', 'hassall', 'doorduin', 'breitling', 'sterks', 'mulcahy', 'koers', 'serylak', 'beck', 'nieuwenhuis', 'butcher', 'batejat', 'hamaker', 'rafferty', 'nelles']",pub.1051729780,2012,lofar the low frequency array,,['vermeulen']
false_alarm,WOS:000233366500011,2005,the study of terbium regenerated bacterirhodopsin,the localization of terbium tb cations binding to deionized bacteriorhodopsin br has been studied by using spectroscopic methods it was found that adding tb cations to deionized br affects the fluorescence lifetimes of tryptophan trp in br the wavelength of fluorescence peak shifts blue and the peak value of fluorescence decreases it was also found that adding one tb cation to deionized br can restore the purple state from its blue state obviously the measurements of absorbance fluorescence and lifetime of fluorescence also show that when more than three tb cations are added no further changes can be found it is suggested that one tb specific binding site for the color controlling is located on the exterior of the br trimer structure to negatively charged lipids near trp and trp three tb cations binding per br is needed for the regenerated br,"['hu', 'zhang', 'xu']",pub.1100987817,2018,prognostic value of nf κb interacting long non coding rna expression in lung adenocarcinoma and lung squamous cell cancer a study based on the cancer genome atlas datasets,,"['fu', 'xu', 'wang', 'chen', 'huang', 'hu', 'zhang', 'wu', 'liu', 'deng', 'mou', 'wang', 'qi', 'tao']"
false_alarm,WOS:000291768300004,2011,au nanocages for highly sensitive and selective detection of ho,au nanocages auncs were synthesized by a simple one pot method without the use of any solid templates or au seeds the structure of the as prepared auncs was characterized by sem tem eds and xrd for their good electrochemical properties and large surface to volume ratio the auncs were utilized to modify glassy carbon electrode gce directly for nonenzymatic detection of ho electrochemical experiments showed that the auncs displayed high electrocatalytic activity towards the reduction of ho and obtained a wide linear range from mu m to mm r with a detection limit down to mu m s n the sensitivity of the ho sensor was as high as mu a mm cm the sensor also exhibits good anti interference ability to electroactive molecules including uric acid ascorbic acid glucose ethanol and glycine moreover the operating simplicity and low expense of fabrication made this electrode more attractive c elsevier b v all rights reserved,"['li', 'xu', 'zhang', 'wen', 'shi', 'sun', 'cui', 'liu']",pub.1056753682,2013,signal detection for cognitive radar,,"['zhang', 'cui']"
false_alarm,WOS:000371369900003,2016,characteristics of surface plasmon resonances in thick metal film perforated with nanohole arrays,the dependence of optical properties on the hole shape period of nanohole arrays and metal film thickness in thick silver film perforated with high density nanohole arrays is investigated using the finite difference time domain technique the physical mechanism behind the light phenomena is discussed the coupling between localized plasmon resonances and surface plasmon polaritons is found to play a crucial role on the optical properties while the hole shape plays an important role on the coupling mechanism interesting light phenomena are observed in thick metal films perforated with rectangle nanohole arrays the antisymmetric coupling between surface plasmon polaritons near the top and bottom film plane and the antisymmetric coupling between localized surface plasmon resonances near the two long sides of the rectangular hole are excited in it c elsevier gmbh all rights reserved,"['chen', 'yuan']",pub.1000412134,2013,coupling effects in bilayer thick metal films perforated with rectangular nanohole arrays,the coupling effects in bilayer thick metal silver films perforated with rectangular nanohole arrays are investigated using the finite difference time domain technique many interesting light phenomena are observed as the distance between the metal rectangular nanohole arrays varies coupling effects are found to play very important roles on the optical and electronic properties of bilayer metal rectangular nanohole arrays antisymmetric coupling between surface plasmon polaritons near the top and bottom film plane and antisymmetric coupling between localized surface plasmon resonances near the two long sides of the rectangular hole are probably excited in each layer of bilayer metal rectangular nanohole arrays antisymmetric and symmetric magnetic coupling probably occur between the metal rectangular nanohole arrays,"['yuan', 'chen']"
false_alarm,WOS:000278389600017,2010,effects of suprathermal particles on the dust ion acoustic waves in a complex plasma,dust ion acoustic waves propagating in a complex plasma containing dusty particles and suprathermal electrons and ions are kinetically analyzed the suprathermal particles are effectively modeled by the lorentzian kappa velocity distribution function for a collisionless and unmagnetized plasma the full spectrum of the dispersion relation is obtained and the suprathermal particle effects on the wave frequency and the landau damping are investigated for a given wave number the wave frequency decreases as the spectral index kappa decreases especially very rapidly in the low kappa region the landau damping of the wave and its maximum are derived they are found to be enhanced by the increase of suprathermal particles the ion to electron density ratio also enhances the damping rate greatly c elsevier b v all rights reserved,['lee'],pub.1063187985,2003,effects of ch sub f sub addition on a high aspect ratio contact hole etching in a c sub f sub o sub ar plasma,,"['ryu', 'lee', 'park', 'kim', 'kim']"
false_alarm,WOS:000181882000006,2003,insulin like growth factor i inhibits progesterone receptor expression in breast cancer cells via the phosphatidylinositol kinase akt mammalian target of rapamycin pathway progesterone receptor as a potential indicator of growth factor activity in breast cancer,although interactions between estrogen and growth factor signaling pathways have been studied extensively how growth factors and progesterone regulate each other is less clear in this study we found that igf i sharply lowers progesterone receptor pr mrna and protein levels in breast cancer cells other growth factors such as epidermal growth factor also showed the same effect the decrease of pr levels was associated with reduced pr activity unlike progestins igf i does not utilize the proteasome for down regulating pr instead the igf mediated decrease in pr levels is via an inhibition of pr gene transcription in addition the phosphatidylinositol kinase pik akt mammalian target of rapamycin mtor pathway was found to be specifically involved in this igf i effect our data also suggest that the igf i down regulation of pr is not mediated via a reduction of estrogen receptor er levels or activity first igf i induced ligand independent er activity while reducing er dependent pr levels second whereas pr and cyclin d are both er up regulated igf i increased cyclin d levels while decreasing pr levels third constitutively active pik or akt induced er activity but reduced pr levels and activity taken together our data indicate that igf i inhibits pr expression in breast cancer cells via the pik akt mtor pathway because low or absent pr in primary breast cancer is associated with poor prognosis and response to hormone therapy our results suggest that low pr status may serve as an indicator of activated growth factor signaling in breast tumor cells and therefore of an aggressive tumor phenotype and resistance against hormonal therapy,"['cui', 'zhang', 'oesterreich', 'lee', 'deng', 'mills', 'lu']",pub.1065075133,2007,potential distribution of solidago canadensis in china,,['lu']
false_alarm,WOS:000250295900088,2007,presmectic wetting and supercritical like phase behavior of octylcyanobiphenyl liquid crystal confined to controlled pore glass matrices,the influence of controlled pore glass cpg confinement on the phase behavior of octylcyanobiphenyl liquid crystal lc is studied by means of x ray scattering and high precision calorimetry for cpg samples with pore diameter r gt nm the smectic order parameter temperature dependence eta t reveals apparent presmectic ordering far above the bulk smectic a nematic sma n phase transition for both nontreated and silane treated cpg matrices the behavior of eta t is qualitatively similar in all samples well obeying the mean field approach mfa in which the surface wetting tendency plays the dominant role in contrast the critical fluctuations remain important in the specific heat data which cannot be described within the mfa we show experimentally that randomness and surface wetting become dominant over finite size effects for r less than or similar to nm in agreement with theoretical analysis in nontreated samples the noncritical character of the static disorder and the interfacial lc cpg coupling almost completely suppress the quasi sma n and nematic isotropic phase transitions at r similar to and similar to nm respectively c american institute of physics,"['zidansek', 'lahajnar', 'zumer', 'kralj', 'cordoyiannis', 'amenitsch', 'kutnjak']",pub.1026462892,2004,thermal study of octylcyanobiphenyl liquid crystal confined to controlled pore glass,we study the phase behavior of octylcyanobiphenyl cb liquid crystal confined to control porous glass cpg using high resolution calorimetry we used silanized and nonsilanized cpg matrices with characteristic void diameters ranging from to nm with decreasing diameter the first order isotropic to nematic i n and second order nematic to smectic a n sma phase transition temperatures monotonously decrease the weakly first order features of the i n transition approaches the smeared tricritical behavior the effective n sma critical exponent apparently decreases toward the d xy value for diameters above nm however the n sma transition progressively broadens and becomes strongly suppressed for diameters below nm a simple phenomenological model is used for a qualitative explanation of results,"['kutnjak', 'kralj', 'lahajnar', 'zumer']"
false_alarm,WOS:000226217300023,2005,the social architecture of capitalism,a dynamic model of the social relations between workers and capitalists is introduced the model self organises into a dynamic equilibrium with statistical properties that are in close qualitative and in many cases quantitative agreement with a broad range of known empirical distributions of developed capitalism including the power law firm size distribution the laplace firm and gdp growth distribution the lognormal firm demises distribution the exponential recession duration distribution the lognormal pareto income distribution and the gamma like firm rate of profit distribution normally these distributions are studied in isolation but this model unifies and connects them within a single causal framework the model also generates business cycle phenomena including fluctuating wage and profit shares in national income about values consistent with empirical studies the generation of an approximately lognormal pareto income distribution and an exponential pareto wealth distribution demonstrates that the power law regime of the income distribution can be explained by an additive process on a power law network that models the social relation between employers and employees organised in firms rather than a multiplicative process that models returns to investment in financial markets a testable consequence of the model is the conjecture that the rate of profit distribution is consistent with a parameter mix of a ratio of normal variates with means and variances that depend on a firm size parameter that is distributed according to a power law c elsevier b v all rights reserved,['wright'],pub.1071156366,2015,depth distribution of the amoebic gill disease agent neoparamoeba perurans in salmon sea cages,,"['wright', 'nowak', 'oppedal', 'bridle', 'dempster']"
