error_type,wos_id,wos_year,wos_title,wos_abstract,wos_last_names,ds_id,ds_year,ds_title,ds_abstract,ds_last_names
false_alarm,WOS:000226780300002,2005,supersymmetry and cosmology,cosmology now provides unambiguous quantitative evidence for new particle physics i discuss the implications of cosmology for supersymmetry and vice versa topics include motivations for supersymmetry supersymmetry breaking dark energy freeze out and wimps neutralino dark matter cosmologically preferred regions of minimal supergravity direct and indirect detection of neutralinos the dama and heat signals inflation and reheating gravitino dark matter big bang nucleosynthesis and the cosmic microwave background i conclude with speculations about the prospects for a microscopic description of the dark universe stressing the necessity of diverse experiments on both sides of the particle physics cosmology interface c elsevier inc all rights reserved,['feng'],pub.1100073888,2018,opposite superwetting nickel meshes for on demand and continuous oil water separation,,"['zhou', 'feng', 'cheng', 'zhang', 'lin', 'zeng', 'pi']"
false_alarm,WOS:000257452200055,2008,bias effect on microstructure and mechanical properties of magnetron sputtered nanocrystalline titanium carbide thin films,nanocrystalline titanium carbide tic thin films were prepared by magnetron sputtering deposition at k the effect of substrate bias on microstructure and mechanical properties was studied in details using x ray photoelectron spectroscopy x ray diffraction field emission scanning electron microscopy indentation and scanning microscratch the tic films exhibit a preferential orientation substrate bias decreases grain size and deposition rate of the tic films the tic films have columnar structure which becomes finer at high substrate bias nanoindentation hardness young s modulus and toughness of the films are increased as the substrate bias goes up however the adhesion peaks at substrate bias of v and drops when bias is increased further c elsevier b v all rights reserved,"['sun', 'wang', 'li', 'zhang']",pub.1055413231,2007,multifunctional nanowire bioscaffolds on titanium,,"['dong', 'zhang', 'epstein', 'cooney', 'wang', 'li', 'jiang', 'cogbill', 'varadan', 'tian']"
false_alarm,WOS:000441708400007,2017,tracking the distribution of a solute bolus in the rat kidney,the goal of this study is to develop a detailed mathematical model that tracks filtered solutes in the rat kidney a better understanding of intrarenal solute distribution and its cycling by way of countercurrent exchange and preferential tubular interactions may yield new insights into fundamental principles of concentrating mechanism function this is a complex problem however in part because of the marked heterogeneity exhibited in the transport properties of different nephron segments and in the organization of tubules and vessels in the renal medulla which likely gives rise to preferential interactions among neighboring tubules and vessels the present model represents renal tubules in both the cortex and the medulla the medullary vasculature and their spatial relationship by simulating the fate a marked bolus we obtain the distribution of that solute as a function of time in addition we characterize the residence time of a solute by computing the portion of that solute remaining in the model kidney as a function of time model simulations of an anti diuretic rat kidney predict that owing to the different tubular transport properties to nacl and urea and to the more effective urea cycling mechanism in the inner medulla the residence time of urea is substantially longer than that of nacl simulation results also suggest that urea cycling is disrupted in the diuretic state resulting in a significantly shorter residence time for urea,['layton'],pub.1089190622,2014,feedback mediated dynamics in a model of coupled nephrons with compliant short loop of henle,,"['ryu', 'layton']"
false_alarm,WOS:000260279200004,2008,single machine scheduling with general learning functions,in this study we consider the single machine scheduling problem with a sum of processing times based learning effect the sum of processing times based learning effect of a job is assumed to be a function of the sum of the normal processing times of the already processed jobs we prove that the shortest processing time spt rule is optimal for the sum of completion times square minimization problem we also show by examples that the optimal schedule for the classical version of the problem is not optimal in the presence of a sum of processing times based learning effect for the following three objective functions the weighted sum of completion times the maximum lateness and the number of tardy jobs but for some special cases we prove that the weighted shortest processing time wsft rule the earliest clue date edd rule and moore s algorithm can construct an optimal schedule for the problem to minimize these objective functions respectively c elsevier ltd all rights reserved,['wang'],pub.1030847746,2012,soliton spectral tunneling effect in multi cladding single mode fibers with three zero dispersion wavelengths,,"['hu', 'wang', 'zeng', 'zhang', 'wang']"
false_alarm,WOS:000259420300004,2008,synthesis and characterization of octahedral pbf,the novel d octahedron like pbf structures with dimension of mu m have been successfully synthesized by a simple route at low temperature the morphologies and structures of as prepared products were characterized by x ray powder diffraction xrd scanning electron microscopy sem and transmission electron microscopy tem the growth mechanism has been proposed for octahedral pbf it was found that the aging time is important for the formation of d octahedron like pbf structures the room temperature photoluminescence measurements revealed a strong blue emission band at nm it was indicated that the as prepared octahedral pbf could have the potential application in optoelectronic devices c elsevier b v all rights reserved,['xu'],pub.1062413136,2008,rheometric investigation on the temporal shear thickening of dilute micellar solutions of c c and ctab nasal,,"['dehmoune', 'decruppe', 'greffier', 'xu']"
false_alarm,WOS:000323893500002,2013,lofar the low frequency array,lofar the low frequency array is a new generation radio interferometer constructed in the north of the netherlands and across europe utilizing a novel phased array design lofar covers the largely unexplored low frequency range from mhz and provides a number of unique observing capabilities spreading out from a core located near the village of exloo in the northeast of the netherlands a total of lofar stations are nearing completion a further five stations have been deployed throughout germany and one station has been built in each of france sweden and the uk digital beam forming techniques make the lofar system agile and allow for rapid repointing of the telescope as well as the potential for multiple simultaneous observations with its dense core array and long interferometric baselines lofar achieves unparalleled sensitivity and angular resolution in the low frequency radio regime the lofar facilities are jointly operated by the international lofar telescope ilt foundation as an observatory open to the global astronomical community lofar is one of the first radio observatories to feature automated processing pipelines to deliver fully calibrated science products to its user community lofar s new capabilities techniques and modus operandi make it an important pathfinder for the square kilometre array ska we give an overview of the lofar instrument its major hardware and software components and the core science objectives that have driven its design in addition we present a selection of new results from the commissioning phase of this new radio observatory,"['wise', 'wilhelmsson', 'van der tol', 'markoff', 'gruppen', 'gankema', 'riemers', 'best', 'arts', 'scaife', 'morganti', 'morawietz', 'noutsos', 'romein', 'griessmeier', 'de geus', 'horneffer', 'van weeren', 'mann', 'van der horst', 'iacobelli', 'tang', 'mol', 'weggemans', 'masters', 'dettmar', 'de bruyn', 'fender', 'renting', 'van veelen', 'van zwieten', 'davies', 'overeem', 'heald', 'reich', 'scheers', 'schoonderbeek', 'alexov', 'bonafede', 'corstanje', 'bentum', 'lemaitre', 'vocks', 'miller jones', 'coolen', 'olofsson', 'ruiter', 'damstra', 'van der wal', 'conway', 'van de brink', 'gerbers', 'drost', 'usov', 'avruch', 'van enst', 'steinmetz', 'wijnholds', 'stiepel', 'tasse', 'van leeuwen', 'omar', 'gunst', 'broekema', 'stappers', 'jackson', 'kuniyoshi', 'rol', 'van den akker', 'pandey pommier', 'wucknitz', 'huijgen', 'tagger', 'sluman', 'van bemmel', 'eisloeffel', 'van cappellen', 'mcfadden', 'asgekar', 'miley', 'kondratiev', 'norden', 'paas', 'kollen', 'mckay bukowski', 'stuurwold', 'rottgering', 'vogt', 'law', 'van der schaaf', 'wijers', 'de gasparin', 'jelic', 'smirnov', 'bahren', 'de reijer', 'koster', 'mckean', 'pandey', 'bennema', 'reitsma', 'anderson', 'kooistra', 'van duin', 'grit', 'nijboer', 'yatawatta', 'millenaar', 'mohan', 'anderson', 'bregman', 'deller', 'meijering', 'van houwelingen', 'munk', 'van ardenne', 'zensus', 'zarka', 'lambropoulos', 'dijkstra', 'braun', 'orru', 'white', 'mulder', 'donker', 'verbiest', 'kuper', 'schoenmakers', 'broderick', 'spreeuw', 'bernardi', 'garrett', 'maat', 'macario', 'kant', 'sobey', 'schellart', 'thoudam', 'falcke', 'kramer', 'thomas', 'toribio', 'frieswijk', 'hessels', 'brentjens', 'rawlings', 'weltevrede', 'noordam', 'de jong', 'ciardi', 'de vos', 'zaroubi', 'horandel', 'vermaas', 'meulman', 'dromer', 'intema', 'fallows', 'offringa', 'bell', 'brueggen', 'boonstra', 'pizzo', 'loose', 'roosjen', 'vermeulen', 'shulevski', 'coenen', 'van nieuwpoort', 'koopmans', 'brouw', 'mevius', 'ferrari', 'van diepen', 'holties', 'karastergiou', 'polatidis', 'koopman', 'swinbank', 'van haarlem', 'ter veen', 'bell', 'birzan', 'van der veen', 'hoeft', 'hassall', 'doorduin', 'breitling', 'sterks', 'mulcahy', 'koers', 'serylak', 'beck', 'nieuwenhuis', 'butcher', 'batejat', 'hamaker', 'rafferty', 'nelles']",pub.1051729780,2012,lofar the low frequency array,,['vermeulen']
false_alarm,WOS:000353033600021,2015,a fret ict dual quenching fluorescent probe with large off on response for hs synthesis spectra and bioimaging,a fret ict dual quenching probe with large off on fluorescent response upon hs treatment is reported the probe can be used for bioimaging of endogenous hs in living cells,"['yi', 'wei', 'zhang', 'wang', 'xi', 'zhang', 'wei']",pub.1006763884,2016,dual reactable fluorescent probes for highly selective and sensitive detection of biological hs,hydrogen sulfide h s is an important endogenous signaling molecule with a variety of biological functions development of fluorescent probes for highly selective and sensitive detection of h s is necessary we show here that dual reactable fluorescent h s probes could react with higher selectivity than single reactable probes one of the dual reactable probes gives more than fold turn on response when reacting with h s the largest response among fluorescent h s probes reported thus far in addition the probe could be used for high throughput enzymatic assays and for the detection of cys induced h s in cells and in zebrafish these dual reactable probes hold potential for highly selective and sensitive detection of h s in biological systems,"['wei', 'wang', 'zhang', 'xu', 'li', 'zhang', 'li', 'yi', 'xi']"
false_alarm,WOS:000291768300004,2011,au nanocages for highly sensitive and selective detection of ho,au nanocages auncs were synthesized by a simple one pot method without the use of any solid templates or au seeds the structure of the as prepared auncs was characterized by sem tem eds and xrd for their good electrochemical properties and large surface to volume ratio the auncs were utilized to modify glassy carbon electrode gce directly for nonenzymatic detection of ho electrochemical experiments showed that the auncs displayed high electrocatalytic activity towards the reduction of ho and obtained a wide linear range from mu m to mm r with a detection limit down to mu m s n the sensitivity of the ho sensor was as high as mu a mm cm the sensor also exhibits good anti interference ability to electroactive molecules including uric acid ascorbic acid glucose ethanol and glycine moreover the operating simplicity and low expense of fabrication made this electrode more attractive c elsevier b v all rights reserved,"['li', 'xu', 'zhang', 'wen', 'shi', 'sun', 'cui', 'liu']",pub.1056753682,2013,signal detection for cognitive radar,,"['zhang', 'cui']"
false_alarm,WOS:000264651200016,2009,a theoretical study on fullerene dizincocene hybrids,using the density functional theory we investigated the possible formation of fullerene dizincocene hybrids specifically c zn zn cp c zn zn c c zn zn cp and c zn zn c where c cp and c represent c ch c ch and c ch radicals our calculation shows that these hybrids have homo lumo gaps which are larger than has been experimentally identified for c fe cp in addition the strength of the zn zn bonds is similar to that in cp zn zn cp which was also synthesized recently furthermore heterohybrids c zn zn cp and c zn zn cp are expected to exist in equilibria with homohybrids c zn zn c and c zn zn c in which heterohybrids are much more favored on the other hand another hybrid involving scn c as a fullerene unit is not highly probable c wiley periodicals inc j comput chem,"['xu', 'kang', 'gao']",pub.1029758649,2017,a feasibility study on percutaneous forearm vein access for adrenal venous sampling,,"['xu', 'sheng', 'li', 'shen', 'tang', 'zhu', 'gao', 'wang']"
false_alarm,WOS:000417212400002,2017,a ratiometric fluorescent chemosensor for the detection of cysteine in aqueous solution at neutral ph,a ratiometric fluorescent chemosensor hydroxy formyl methoxyphenyl benzothiazole was developed for the detection of cysteine cys in aqueous solution at neutral ph exhibited a ratiometric fluorescent response to cys with a remarkable red to green shift in the emission wavelength this fluorescence change was attributed to the cyclization reaction between the formyl group in and the amino and sulfhydryl group in cys in a stoichiometry of according to the proposed mechanism at neutral ph displayed a significant fluorescence ratio signal enhancement with the addition of cys furthermore showed good selectivity toward cys the detection limit and linear range were and mol l respectively which demonstrated that could recognize relatively low concentrations of cys and is a good candidate for applications in detecting cys,['li'],pub.1099778207,2017,a fss of hybrid combined elements for dual band operations,,"['li', 'suo', 'chen', 'chou']"
